,accuracy_score,precision,recall,f1_score
model_1_Dense,0.74189364461738,0.7570653016142105,0.743077729398484,0.6761310159122385
model_2_Conv2D,0.8106355382619974,0.8253579100562343,0.8290782171246966,0.8029910286443341
model_2_Conv2D_modified,0.7808041504539559,0.8347532738638626,0.7813893117160489,0.76967444202438
EfficientNetV2B0_feature_extractor,0.8261997405966277,0.9319734723484305,0.8542573778422835,0.8615965986767162
EfficientNetV2B0_fine_tuned,0.7574578469520103,0.8657122925062684,0.7350326068572732,0.7544510515064599
